country,treatment_success_rate,hospital_beds,gdp_growth
Aruba,,,-3.68502958088573
Afghanistan,86.0,0.4,14.3624414596816
Angola,48.0,,4.85921958436937
Albania,89.0,3.0,3.70689143341055
Andorra,86.0,,-5.35882577533336
United Arab Emirates,72.0,1.9,1.60280996068229
Argentina,45.0,4.5,10.1253981561002
Armenia,82.0,3.7,2.19999999752649
American Samoa,100.0,,0.442477876106182
Antigua and Barbuda,33.0,2.2,-7.57435721754354
Australia,82.0,3.9,2.06746567730687
Austria,75.0,7.7,1.83709367680054
Azerbaijan,73.0,5.1,4.7888327097976
Burundi,88.0,,5.12416330338039
Belgium,78.0,6.5,2.86428532684397
Benin,90.0,0.5,2.11019929660023
Burkina Faso,78.0,0.4,5.37337312603061
Bangladesh,91.0,,5.57180227396866
Bulgaria,87.0,6.5,1.32408780093829
Bahrain,96.0,1.8,4.33677626417364
"Bahamas, The",69.0,3.1,1.53877740677106
Bosnia and Herzegovina,98.0,3.4,0.767248701879879
Belarus,78.0,11.5,7.79826682269731
Belize,0.0,1.2,3.38347170641828
Bermuda,0.0,,-2.09411353414293
Bolivia,85.0,,4.12671936920815
Brazil,72.0,2.4,7.52822583005563
Barbados,100.0,6.6,-2.17039196631033
Brunei Darussalam,78.0,,2.59896574643226
Bhutan,91.0,,11.9458959913586
Botswana,78.0,1.8,8.56363174773267
Central African Republic,59.0,,4.63081843223307
Canada,78.0,2.7,3.08949464089598
Switzerland,,5.0,3.00279824507554
Channel Islands,,,
Chile,71.0,2.0,5.84417729578996
China,95.0,3.56,10.6361404632299
Cote d'Ivoire,75.0,,2.01763859205302
Cameroon,78.0,1.3,3.4225076411544
"Congo, Dem. Rep.",89.0,,7.10797657581392
"Congo, Rep.",77.0,,8.75160145933474
Colombia,74.0,,4.34755326848266
Comoros,90.0,2.2,3.79993345468068
Cabo Verde,,2.1,1.46679009706938
Costa Rica,88.0,1.2,4.95186384401947
Cuba,90.0,5.9,2.39035229650723
Curacao,,,0.0823059603677052
Cayman Islands,25.0,,-2.71563526217577
Cyprus,26.0,3.5,2.01469570699406
Czech Republic,73.0,7.0,2.27342005374092
Germany,76.0,8.2,4.1789690378929
Djibouti,80.0,1.4,
Dominica,100.0,3.8,0.67254275850172
Denmark,74.0,3.5,1.87099110975051
Dominican Republic,80.0,1.6,8.33965105570627
Algeria,89.0,,3.60000000000001
Ecuador,76.0,1.6,3.52529866894027
"Egypt, Arab Rep.",89.0,1.7,5.14723485873294
Eritrea,86.0,,2.19419054483319
Spain,69.0,3.2,0.163010230841422
Estonia,66.0,5.2,2.70690275278302
Ethiopia,77.0,,12.5505383459308
Finland,47.0,5.9,3.18591156873617
Fiji,64.0,,2.9546724221224
France,,6.6,1.94943763326869
Faroe Islands,,,
"Micronesia, Fed. Sts.",88.0,,2.25937363694084
Gabon,60.0,6.3,7.08988731455126
United Kingdom,81.0,3.0,1.94952148180782
Georgia,79.0,3.0,6.24948778888725
Ghana,84.0,,7.8997118893531
Gibraltar,,,
Guinea,80.0,,4.81336296147572
"Gambia, The",88.0,,5.90833580968291
Guinea-Bissau,67.0,,4.61097090010318
Equatorial Guinea,68.0,2.1,-8.92417588851806
Greece,,4.8,-5.47903710212778
Grenada,75.0,,-0.511262754149129
Greenland,,,1.73582505889665
Guatemala,82.0,0.6,2.86948775555717
Guam,90.0,,2.0916126333403
Guyana,64.0,,4.13856434968405
"Hong Kong SAR, China",67.0,,6.76759015048984
Honduras,85.0,0.8,3.73114034433009
Croatia,76.0,5.6,-1.49625949506706
Haiti,79.0,,-3.12239442952746
Hungary,74.0,7.2,0.664291824848817
Indonesia,89.0,0.6,6.22385418062366
Isle of Man,,,3.39999967197102
India,89.0,,8.49758470158106
Ireland,74.0,3.0,1.80997974398586
"Iran, Islamic Rep.",83.0,1.7,5.79793830169417
Iraq,90.0,1.3,6.40256484471193
Iceland,91.0,3.6,-3.43587807775975
Israel,84.0,3.2,5.60113767079041
Italy,,3.6,1.71329583916922
Jamaica,36.0,1.8,-1.4660592992427
Jordan,90.0,1.8,2.31139241481932
Japan,56.0,,4.19173925858955
Kazakhstan,76.0,7.3,7.30000000016202
Kenya,86.0,1.4,8.40569922421719
Kyrgyz Republic,,4.8,-0.471566847508598
Cambodia,89.0,0.84,5.96307857538696
Kiribati,90.0,1.4,-0.923884656867074
St. Kitts and Nevis,100.0,4.8,-2.93665041967216
"Korea, Rep.",89.0,,6.49679358555511
Kuwait,89.0,2.0,-2.37055925955441
Lao PDR,91.0,0.7,8.52690551722873
Lebanon,81.0,3.5,8.0372493541868
Liberia,,0.8,6.09982760205581
Libya,61.0,3.7,5.02128973900766
St. Lucia,89.0,,0.303818185809106
Liechtenstein,,,
Sri Lanka,88.0,3.5,8.01596737088065
Lesotho,65.0,,6.42963960957444
Lithuania,74.0,7.2,1.48223244137165
Luxembourg,0.0,5.4,4.8649684924216
Latvia,78.0,5.7,-4.47344119778778
"Macao SAR, China",92.0,,25.2635056235019
St. Martin (French part),,,
Morocco,88.0,1.1,3.8157179167666
Monaco,,,2.10000000000005
Moldova,67.0,6.2,7.10000008379275
Madagascar,81.0,0.2,0.619239745847793
Maldives,81.0,,7.26512906840138
Mexico,82.0,1.7,5.11811814321162
Marshall Islands,84.0,2.7,7.55539030565797
North Macedonia,85.0,4.6,3.35875085773812
Mali,77.0,0.1,5.41345222224766
Malta,65.0,4.5,3.54268321383185
Myanmar,88.0,,9.63443945214466
Montenegro,87.0,4.0,2.73434154076675
Mongolia,91.0,5.8,6.36516168485748
Northern Mariana Islands,90.0,,1.38364779874213
Mozambique,85.0,,6.48814964562332
Mauritania,70.0,,4.77369709395805
Mauritius,91.0,,4.37720323945265
Malawi,83.0,,6.87406563500954
Malaysia,76.0,1.8,7.42484738592756
Namibia,85.0,,6.03924954600518
New Caledonia,82.0,,
Niger,81.0,,8.3642195301652
Nigeria,81.0,,8.00565591528179
Nicaragua,85.0,0.8,4.41048139816023
Netherlands,84.0,,1.34273944410323
Norway,89.0,4.3,0.701833823862358
Nepal,91.0,,4.81641465022444
Nauru,40.0,5.0,13.550826776623
New Zealand,80.0,,1.53924561639442
Oman,98.0,1.8,4.80471128505226
Pakistan,90.0,0.6,1.60668862905307
Panama,75.0,2.4,5.82783939246903
Peru,68.0,1.5,8.33245910749577
Philippines,90.0,0.5,7.63226477978098
Palau,84.0,4.8,0.288984327608446
Papua New Guinea,50.0,,10.1284541028235
Poland,67.0,6.5,3.60692826143993
Puerto Rico,83.0,,-0.413254118484915
"Korea, Dem. People���s Rep.",91.0,14.3,
Portugal,74.0,3.4,1.73762581004311
Paraguay,70.0,1.3,11.1437357938518
West Bank and Gaza,83.0,,8.09908926205796
French Polynesia,84.0,,
Qatar,87.0,1.2,19.592331533546
Romania,84.0,6.3,-3.9012362801862
Russian Federation,66.0,8.8,4.50000000001451
Rwanda,82.0,,7.33465519731176
Saudi Arabia,61.0,2.2,5.03949367491363
Sudan,,0.7,3.46933509264973
Senegal,82.0,,3.56274538992136
Singapore,81.0,,14.5256466619866
Solomon Islands,89.0,,6.80904500865549
Sierra Leone,86.0,,5.34646605237529
El Salvador,92.0,1.0,2.10428320345417
San Marino,,,-4.65549348230913
Somalia,74.0,,
Serbia,88.0,5.6,0.73104334422294
South Sudan,,,5.49341639529945
Sao Tome and Principe,76.0,,6.67198532008362
Suriname,54.0,3.1,5.16882516188714
Slovak Republic,88.0,6.4,5.7208447993039
Slovenia,82.0,4.6,1.34374847578032
Sweden,88.0,2.7,6.18902943465953
Eswatini,72.0,,3.79375469751868
Sint Maarten (Dutch part),100.0,,3.19999402154461
Seychelles,76.0,,5.95496246872393
Syrian Arab Republic,91.0,1.5,
Turks and Caicos Islands,60.0,,
Chad,54.0,,13.550100859549
Togo,85.0,,6.09925916082048
Thailand,83.0,2.1,7.5135906579751
Tajikistan,86.0,5.0,6.5206807512775
Turkmenistan,87.0,7.6,9.19999998805483
Timor-Leste,28.0,5.9,-1.17206313157962
Tonga,90.0,2.6,3.58565737051792
Trinidad and Tobago,71.0,2.1,3.32322471027371
Tunisia,85.0,2.1,3.5106086386031
Turkey,89.0,2.5,8.48737213928641
Tuvalu,93.0,,-2.72942791190967
Tanzania,89.0,0.7,6.33652342747494
Uganda,68.0,0.5,5.63759980250855
Ukraine,69.0,9.4,3.83438769855928
Uruguay,84.0,1.2,7.80340965525524
United States,66.0,3.0,2.56376655876581
Uzbekistan,86.0,4.4,7.59716796091151
St. Vincent and the Grenadines,0.0,2.6,-3.35352588952401
"Venezuela, RB",82.0,,-1.48879125078348
British Virgin Islands,,,
Virgin Islands (U.S.),,,0.904116107542023
Vietnam,92.0,2.0,6.42323821717494
Vanuatu,81.0,,1.62908159635768
Samoa,86.0,,0.479158712837517
Kosovo,,,3.30863301096937
"Yemen, Rep.",87.0,0.7,7.70230703961865
South Africa,53.0,,3.03973081360166
Zambia,89.0,2.0,10.2982058517493
Zimbabwe,76.0,,19.6753231424645
